iter	RMSE
0	0.3813308355
1	0.3721892606
2	0.3637936262
3	0.3561068257
4	0.3475492215
5	0.3394314099
6	0.3319552195
7	0.3252228941
8	0.3184613658
9	0.3114649619
10	0.3053327248
11	0.2993951739
12	0.2930811792
13	0.2870498878
14	0.2813948045
15	0.2759502265
16	0.2700505913
17	0.2648826401
18	0.2599998106
19	0.2550723262
20	0.2501229222
21	0.2456655487
22	0.2416245842
23	0.2380442979
24	0.2342622365
25	0.2299370204
26	0.2265976798
27	0.2227655015
28	0.2194480322
29	0.216137866
30	0.213134735
31	0.2101738274
32	0.2069313841
33	0.203704832
34	0.2011922916
35	0.1985975082
36	0.1959908637
37	0.1937151222
38	0.1912360822
39	0.188977833
40	0.1865719373
41	0.18455672
42	0.1822018712
43	0.1800091815
44	0.1779837007
45	0.1759844428
46	0.1744123098
47	0.1729281788
48	0.1712696085
49	0.1696465647
50	0.1680196622
51	0.1663242863
52	0.1646742641
53	0.1633943608
54	0.1623161209
55	0.1609903375
56	0.1596052291
57	0.1581038566
58	0.1569846256
59	0.1556307993
60	0.1543270472
61	0.1530923332
62	0.1520226969
63	0.1508302515
64	0.1496546829
65	0.1485242685
66	0.1477186479
67	0.1467234682
68	0.1457499909
69	0.1449785232
70	0.1440316846
71	0.1430715198
72	0.142267199
73	0.1413020974
74	0.1404793228
75	0.1397671337
76	0.1387518473
77	0.1380625869
78	0.1372374377
79	0.1365771802
80	0.1360157721
81	0.1352432397
82	0.1345543217
83	0.1337965425
84	0.1331780618
85	0.1325376968
86	0.1318575896
87	0.1312162862
88	0.1304703408
89	0.1300598197
90	0.1295135583
91	0.1289778771
92	0.1284177416
93	0.127981337
94	0.127376947
95	0.1268340805
96	0.1260906613
97	0.1254005561
98	0.1249789004
99	0.1244610984
100	0.1239949689
101	0.123454924
102	0.1229519869
103	0.122426723
104	0.1218474605
105	0.1214331477
106	0.1210472561
107	0.1207230574
108	0.1202652227
109	0.1197418247
110	0.1193370257
111	0.1190330292
112	0.1185459117
113	0.1182196367
114	0.1176803354
115	0.1172247759
116	0.1168970312
117	0.1164781199
118	0.1160933268
119	0.1157334736
120	0.115407912
121	0.1151060468
122	0.1148159873
123	0.1145131535
124	0.114253895
125	0.1138771069
126	0.1135079476
127	0.1132455844
128	0.11278631
129	0.1124818779
130	0.1121490461
131	0.1118535083
132	0.1116123744
133	0.1112476773
134	0.1109746156
135	0.1105945847
136	0.1103994065
137	0.1100935414
138	0.1098599871
139	0.1095060666
140	0.1091332163
141	0.1088630575
142	0.1086151009
143	0.1083464318
144	0.1080405595
145	0.1078529661
146	0.107560785
147	0.1072649275
148	0.1070770556
149	0.1068354989
150	0.1066253267
151	0.1063747554
152	0.1061263386
153	0.10590845
154	0.1056639991
155	0.1054353925
156	0.1052361062
157	0.1050325635
158	0.1047532582
159	0.1045280383
160	0.1043131208
161	0.1040693835
162	0.1037652797
163	0.1035641919
164	0.1033308127
165	0.1030998653
166	0.102882989
167	0.1027285466
168	0.1024747044
169	0.1022412936
170	0.1019817766
171	0.101760898
172	0.1015686446
173	0.1013193073
174	0.1011447328
175	0.100962717
176	0.1007569262
177	0.1005329898
178	0.1003309051
179	0.1001718379
180	0.09997613332
181	0.0997498072
182	0.09955278773
183	0.09938092806
184	0.09918141686
185	0.09900668866
186	0.09874982611
187	0.09858358778
188	0.09836629171
189	0.09820869866
190	0.09801623028
191	0.09785488499
192	0.09763764037
193	0.0974565336
194	0.09724281345
195	0.09705325333
196	0.09688459021
197	0.09669114271
198	0.09653424386
199	0.09636033532
200	0.09622749583
201	0.09602830986
202	0.09585006386
